date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:10:34	4871/4871	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:10:25%20GMT	http://www.gleanslo.org/upcoming.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/upcoming.html	(from http://www.gleanslo.org/index.php)
16:10:34	11437/11437	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:10:26%20GMT	http://www.gleanslo.org/newsletter.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/newsletter.html	(from http://www.gleanslo.org/index.php)
16:10:36	21295/21295	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:10:27%20GMT	http://www.gleanslo.org/awards.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/awards.html	(from http://www.gleanslo.org/index.php)
16:10:37	69452/69452	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Jul%202014%2023:46:08%20GMT	http://www.gleanslo.org/images/Nav%20buttons/FlickrIcon.png	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/Nav%20buttons/FlickrIcon.png	(from http://www.gleanslo.org/index.php)
16:10:37	8837/8837	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:10:28%20GMT	http://www.gleanslo.org/farmers.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/farmers.html	(from http://www.gleanslo.org/index.php)
16:10:38	143763/143763	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Nov%202018%2013:52:41%20GMT	http://www.gleanslo.org/images/banners/home2014.png	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/banners/home2014.png	(from http://www.gleanslo.org/index.php)
16:10:38	0/0	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20Jan%202020%2000:10:29%20GMT	http://www.gleanslo.org/WordPress/	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/WordPress/index.html	(from http://www.gleanslo.org/index.php)
16:10:38	4962/4962	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:10:30%20GMT	http://www.gleanslo.org/photos.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/photos.html	(from http://www.gleanslo.org/index.php)
16:10:39	6669/6669	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:10:30%20GMT	http://www.gleanslo.org/resources.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/resources.html	(from http://www.gleanslo.org/index.php)
16:10:39	51758/51758	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Nov%202014%2020:43:36%20GMT	http://www.gleanslo.org/images/Nav%20buttons/youtube.png	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/Nav%20buttons/youtube.png	(from http://www.gleanslo.org/index.php)
16:10:39	0/0	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2010%20Jan%202020%2000:10:31%20GMT	http://www.gleanslo.org/Utilities/PagesIndex.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/Utilities/PagesIndex.php	(from http://www.gleanslo.org/index.php)
16:10:39	4512/4512	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:10:31%20GMT	http://www.gleanslo.org/login.php?accesscheck=%2FUtilities%2FPagesIndex.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/logina91e.html	(from http://www.gleanslo.org/index.php)
16:10:40	2169/2169	---M-Z	403	error ('Forbidden')	text/html	date:Fri,%2010%20Jan%202020%2000:10:34%20GMT	http://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/My%20Web%20Sites/gleanSLO/translate.google.com/translate_a/element.22a0d8.delayed	(from http://www.gleanslo.org/index.php)
16:10:41	39404/39404	---M--	200	added ('OK')	image/png	date:Sat,%2017%20May%202014%2016:01:49%20GMT	http://www.gleanslo.org/images/Nav%20buttons/gleanweb.png	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/Nav%20buttons/gleanweb.png	(from http://www.gleanslo.org/index.php)
16:11:00	122325/122325	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Feb%202013%2000:56:16%20GMT	http://www.gleanslo.org/images/logos/logo-small.png	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/logos/logo-small.png	(from http://www.gleanslo.org/mission.php)
16:11:12	69571/69571	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Dec%202015%2003:44:37%20GMT	http://www.gleanslo.org/images/about/EmilyWilson.jpg	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/about/EmilyWilson.jpg	(from http://www.gleanslo.org/team.php)
16:11:14	204837/204837	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Sep%202016%2001:01:29%20GMT	http://www.gleanslo.org/images/about/RoxanneSanders.jpg	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/about/RoxanneSanders.jpg	(from http://www.gleanslo.org/team.php)
16:11:15	212440/212440	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Jul%202014%2004:21:25%20GMT	http://www.gleanslo.org/images/photos/MissionPage.jpg	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/photos/MissionPage.jpg	(from http://www.gleanslo.org/mission.php)
16:11:36	146896/146896	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Nov%202019%2000:55:54%20GMT	http://www.gleanslo.org/images/about/ChuckAsmus.jpg	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/about/ChuckAsmus.jpg	(from http://www.gleanslo.org/team.php)
16:11:42	165964/165964	---M--	200	added ('OK')	image/jpeg	date:Fri,%2012%20Oct%202018%2015:14:27%20GMT	http://www.gleanslo.org/images/about/SallyBrooks-Schulke.jpg	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/about/SallyBrooks-Schulke.jpg	(from http://www.gleanslo.org/team.php)
16:11:45	186327/186327	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20Oct%202018%2016:42:04%20GMT	http://www.gleanslo.org/images/about/RossChenot.jpg	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/about/RossChenot.jpg	(from http://www.gleanslo.org/team.php)
16:11:56	79397/79397	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Aug%202014%2022:44:20%20GMT	http://www.gleanslo.org/images/about/Jennifer-Codron.jpg	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/about/Jennifer-Codron.jpg	(from http://www.gleanslo.org/team.php)
16:11:58	79377/79377	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Aug%202014%2022:44:19%20GMT	http://www.gleanslo.org/images/about/Carolyn-Eicher.jpg	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/about/Carolyn-Eicher.jpg	(from http://www.gleanslo.org/team.php)
16:12:01	35858/35858	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Jul%202017%2023:43:57%20GMT	http://www.gleanslo.org/images/about/Kylee.jpg	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/about/Kylee.jpg	(from http://www.gleanslo.org/team.php)
16:12:19	269604/269604	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Mar%202016%2000:01:21%20GMT	http://www.gleanslo.org/images/about/Susan-McTaggart.jpg	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/about/Susan-McTaggart.jpg	(from http://www.gleanslo.org/team.php)
16:12:41	242979/242979	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Dec%202019%2023:23:13%20GMT	http://www.gleanslo.org/images/about/NicholasHustedt.jpg	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/about/NicholasHustedt.jpg	(from http://www.gleanslo.org/team.php)
16:12:48	303900/303900	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Dec%202018%2022:11:40%20GMT	http://www.gleanslo.org/images/about/AnnKetelaar.jpg	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/about/AnnKetelaar.jpg	(from http://www.gleanslo.org/team.php)
16:13:02	267325/267325	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Dec%202019%2023:23:13%20GMT	http://www.gleanslo.org/images/about/SuzanneHustedt.jpg	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/about/SuzanneHustedt.jpg	(from http://www.gleanslo.org/team.php)
16:13:12	189882/189882	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Aug%202018%2023:21:09%20GMT	http://www.gleanslo.org/images/howitworks.jpg	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/howitworks.jpg	(from http://www.gleanslo.org/how.php)
16:13:39	1121762/1121762	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Feb%202013%2012:39:46%20GMT	http://www.gleanslo.org/images/banners/logobanner1.png	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/banners/logobanner1.png	(from http://www.gleanslo.org/mission.php)
16:15:13	897881/897881	---M--	200	added ('OK')	application/pdf	date:Thu,%2012%20Sep%202019%2023:05:37%20GMT	http://www.gleanslo.org/documents/2018_annualreport.pdf	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/documents/2018_annualreport.pdf	(from http://www.gleanslo.org/annual.php)
16:18:04	1639013/1639013	---M--	200	added ('OK')	application/pdf	date:Wed,%2030%20Mar%202016%2000:04:57%20GMT	http://www.gleanslo.org/documents/2015AnnualReportDig-smaller.pdf	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/documents/2015AnnualReportDig-smaller.pdf	(from http://www.gleanslo.org/annual.php)
16:19:18	2263216/2263216	---M--	200	added ('OK')	application/pdf	date:Wed,%2011%20Apr%202018%2023:30:00%20GMT	http://www.gleanslo.org/documents/2016_annualreport.pdf	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/documents/2016_annualreport.pdf	(from http://www.gleanslo.org/annual.php)
16:19:50	193769/193769	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Feb%202013%2023:04:40%20GMT	http://www.gleanslo.org/images/banners/banner-1.jpg	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/banners/banner-1.jpg	(from http://www.gleanslo.org/FAQ.php)
16:19:51	9516/9516	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:19:42%20GMT	http://www.gleanslo.org/pickerinsert.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/pickerinsert.html	(from http://www.gleanslo.org/FAQ.php)
16:20:15	144135/144135	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Mar%202013%2004:43:10%20GMT	http://www.gleanslo.org/images/banners/Jahan.jpg	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/banners/Jahan.jpg	(from http://www.gleanslo.org/volunteer.php)
16:20:44	180761/180761	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Jul%202014%2003:09:05%20GMT	http://www.gleanslo.org/images/photos/volunteerpage-1.jpg	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/photos/volunteerpage-1.jpg	(from http://www.gleanslo.org/volunteer.php)
16:20:53	1045032/1045032	---M--	200	added ('OK')	application/pdf	date:Tue,%2020%20Mar%202018%2018:13:00%20GMT	http://www.gleanslo.org/documents/2013AnnualReport.pdf	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/documents/2013AnnualReport.pdf	(from http://www.gleanslo.org/annual.php)
16:21:02	106884/106884	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Jul%202014%2003:09:09%20GMT	http://www.gleanslo.org/images/photos/volunteerpage-2.jpg	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/photos/volunteerpage-2.jpg	(from http://www.gleanslo.org/volunteer.php)
16:21:20	167256/167256	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Jul%202014%2003:09:06%20GMT	http://www.gleanslo.org/images/photos/volunteerpage-4.jpg	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/photos/volunteerpage-4.jpg	(from http://www.gleanslo.org/volunteer.php)
16:21:21	14744/14744	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:21:13%20GMT	http://www.gleanslo.org/Pickers/NewPickers.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/Pickers/NewPickers.html	(from http://www.gleanslo.org/volunteer.php)
16:21:22	4817/4817	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:21:14%20GMT	http://www.gleanslo.org/Pickers/MyPage.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/Pickers/MyPage.html	(from http://www.gleanslo.org/volunteer.php)
16:21:24	4958/4958	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:21:15%20GMT	http://www.gleanslo.org/Pickers/ContactUpdateLink.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/Pickers/ContactUpdateLink.html	(from http://www.gleanslo.org/volunteer.php)
16:21:24	140427/140427	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Jul%202014%2003:09:08%20GMT	http://www.gleanslo.org/images/photos/volunteerpage-3.jpg	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/photos/volunteerpage-3.jpg	(from http://www.gleanslo.org/volunteer.php)
16:21:25	4905/4905	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:21:16%20GMT	http://www.gleanslo.org/Pickers/CurrentSignups.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/Pickers/CurrentSignups.html	(from http://www.gleanslo.org/volunteer.php)
16:21:25	4643/4643	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:21:17%20GMT	http://www.gleanslo.org/Pickers/AttendanceRequest.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/Pickers/AttendanceRequest.html	(from http://www.gleanslo.org/volunteer.php)
16:21:26	5571/5571	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:21:17%20GMT	http://www.gleanslo.org/Pickers/ParticipationTerms.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/Pickers/ParticipationTerms.html	(from http://www.gleanslo.org/volunteer.php)
16:21:26	729/729	---MC-	200	added ('OK')	text/javascript	date:Fri,%2010%20Jan%202020%2000:21:20%20GMT	https://www.google.com/recaptcha/api.js	C:/My%20Web%20Sites/gleanSLO/www.google.com/recaptcha/api.js	(from http://www.gleanslo.org/site_registration.php)
16:21:27	4515/4515	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Jan%202013%2020:44:33%20GMT	http://www.gleanslo.org/images/Nav%20buttons/donate-larger-green.png	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/Nav%20buttons/donate-larger-green.png	(from http://www.gleanslo.org/supporters.php)
16:22:17	312928/312928	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Jul%202014%2004:04:24%20GMT	http://www.gleanslo.org/images/photos/supporters1.jpg	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/photos/supporters1.jpg	(from http://www.gleanslo.org/supporters.php)
16:22:21	3473862/3473862	---M--	200	added ('OK')	application/pdf	date:Wed,%2011%20Apr%202018%2023:30:02%20GMT	http://www.gleanslo.org/documents/2017_annualreport.pdf	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/documents/2017_annualreport.pdf	(from http://www.gleanslo.org/annual.php)
16:22:22	342765/342765	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Jul%202014%2004:04:25%20GMT	http://www.gleanslo.org/images/photos/supporters2.jpg	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/photos/supporters2.jpg	(from http://www.gleanslo.org/supporters.php)
16:22:23	8031/8031	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Jun%202014%2014:49:33%20GMT	http://www.norwesco.com/_site_components/uploads/images/distributor_logos/Farm%20Supply.jpg	C:/My%20Web%20Sites/gleanSLO/www.norwesco.com/_site_components/uploads/images/distributor_logos/Farm%20Supply.jpg	(from http://www.gleanslo.org/sponsorship.php)
16:22:37	85522/85522	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Oct%202014%2023:02:15%20GMT	http://www.gleanslo.org/images/logos/NWE_Logo_Black_PRCA.png	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/logos/NWE_Logo_Black_PRCA.png	(from http://www.gleanslo.org/sponsorship.php)
16:22:37	1/1	---M--	404	error ('Not%20Found')	image/png	date:Fri,%2010%20Jan%202020%2000:22:32%20GMT	https://static1.squarespace.com/static/5566017be4b0e7bfbea7d23a/56e7b39201dbae088001c9cd/56e7b39201dbae088001c9cf/1446570847844/rabo+long.png	C:/My%20Web%20Sites/gleanSLO/static1.squarespace.com/static/5566017be4b0e7bfbea7d23a/56e7b39201dbae088001c9cd/56e7b39201dbae088001c9cf/1446570847844/rabo+long.4e.delayed	(from http://www.gleanslo.org/sponsorship.php)
16:22:42	117858/117858	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2019:23:42%20GMT	http://www.gleanslo.org/images/logos/Joebella.jpeg	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/logos/Joebella.jpg	(from http://www.gleanslo.org/sponsorship.php)
16:22:43	22850/22850	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2000:22:34%20GMT	http://www.gleanslo.org/harvestlist-m.php	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/harvestlist-m.html	(from http://www.gleanslo.org/harvestlist.php)
16:22:44	1447/1447	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Jan%202013%2020:45:00%20GMT	http://www.gleanslo.org/images/Facebook.png	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/Facebook.png	(from http://www.gleanslo.org/harvestlist.php)
16:23:04	123681/123681	---M--	200	added ('OK')	image/jpeg	date:Mon,%2025%20Nov%202019%2022:22:33%20GMT	http://gleanslo.org/images/gallery/7.jpg	C:/My%20Web%20Sites/gleanSLO/gleanslo.org/images/gallery/7.jpg	(from http://www.gleanslo.org/upcoming.php)
16:23:08	314755/314755	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Jul%202014%2004:04:24%20GMT	http://www.gleanslo.org/images/photos/supporters3.jpg	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/photos/supporters3.jpg	(from http://www.gleanslo.org/supporters.php)
16:23:34	352964/352964	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2019:16:05%20GMT	http://www.gleanslo.org/images/logos/LogoWordsOnly.jpg	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/logos/LogoWordsOnly.jpg	(from http://www.gleanslo.org/sponsorship.php)
16:23:35	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Jan%202020%2000:23:27%20GMT	http://www.gleanslo.org/images/KSBY%20article.png	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/KSBY%20article.55.delayed	(from http://www.gleanslo.org/awards.php)
16:23:35	171198/171198	---M--	200	added ('OK')	application/pdf	date:Mon,%2018%20May%202015%2018:05:24%20GMT	http://www.gleanslo.org/documents/NTgleanslo.pdf	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/documents/NTgleanslo.pdf	(from http://www.gleanslo.org/awards.php)
16:24:35	368456/368456	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Mar%202014%2020:50:15%20GMT	http://www.gleanslo.org/images/Tribune3-6-14.png	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/Tribune3-6-14.png	(from http://www.gleanslo.org/awards.php)
16:24:55	497972/497972	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Mar%202014%2020:50:14%20GMT	http://www.gleanslo.org/images/KCOY3-8-14.png	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/KCOY3-8-14.png	(from http://www.gleanslo.org/awards.php)
16:25:14	112026/112026	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Mar%202014%2020:50:13%20GMT	http://www.gleanslo.org/images/NewTimes3-6-14.png	C:/My%20Web%20Sites/gleanSLO/www.gleanslo.org/images/NewTimes3-6-14.png	(from http://www.gleanslo.org/awards.php)
